"SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"0",1.062645785,50,2,0.179031796,3490,8,1,0,1,1
"0",0.003591326,83,0,0.000869313,10352,14,0,0,0,0
"0",0.9999999,22,0,0,100,1,0,0,0,0
"0",0,52,0,0.336354624,7060,10,0,2,0,3
"0",0.220152015,54,0,0.235063663,4083,15,0,0,0,1
"0",0.025879318,67,0,0.248669569,6200,17,0,1,0,1
"0",0.098500397,56,0,0.270419162,8349,16,0,2,0,0
"0",0.416857832,32,0,0.321083172,6720,11,0,2,0,2
"0",0.540114971,38,0,0.169709437,11666,6,0,1,0,2
"0",0.155645898,59,0,0.59650798,7330,12,0,3,0,0
"0",0.089172421,85,0,0.042212842,4500,10,0,0,0,1
"0",0,47,0,0.288542292,5000,5,0,1,0,1
"0",0.004432279,39,0,1.002497918,1200,11,0,2,0,1
"0",0.013793236,83,3,0.111377724,5000,14,0,1,0,1
"0",0.790939956,49,2,0.927723391,4800,18,0,3,0,2
"0",0.043695643,58,0,0.059818649,22166,8,0,0,0,2
"0",0.162262712,55,0,0.309974362,8190,21,0,2,0,0
"0",0.206381305,29,0,0.296157451,3200,6,0,0,1,0
"0",0.001607447,67,0,0.133457336,4300,7,0,0,0,0
"0",0.608944641,40,0,0.2529456,3988,5,0,1,0,3
"0",0.175776357,44,0,0.358877297,10830,10,0,2,0,2
"0",0.009754904,28,0,958,0,7,0,1,0,0
"1",0.141997264,53,0,0.172322093,9400,11,1,2,0,1
"0",0.581709145,35,0,0.262333453,5553,5,0,2,0,0
"0",1.035471968,42,1,333,0,4,1,0,0,2
"0",0.030310537,60,0,0.874516441,4135,11,0,2,0,1
"0",0.792776247,42,1,0.209196209,5697,5,1,0,0,1
"0",0.060952071,46,0,0.19974402,12500,7,0,2,0,0
"0",0.020468425,56,0,0.373064385,4907,6,0,1,0,3
"0",0.173756854,50,0,0.04275125,5800,5,0,0,0,3
"0",0.061434649,63,0,0.120413757,11310,6,0,1,0,0
"1",0.990643525,45,1,0.24838013,4166,3,2,0,1,0
"0",0.9999999,57,0,0.370508735,9100,8,0,1,0,3
